30 minutes delayed
Contract,Last,Chg,Open Interest,Volume,Turnover,Bid-Ask,Pre-clear,Open,Low,High,Chart
al2310,18965,-90,5260,525,49868125,18965/19040,19055,19015,18965,19025, 
al2311,18910,-55,200242,48290,4565382625,18905/18910,18965,18985,18870,18990, 
al2312,18835,-35,142932,19594,1844950225,18835/18840,18870,18855,18805,18885, 
al2401,18775,-25,62112,5161,484351100,18765/18775,18800,18820,18740,18825, 
al2402,18715,-45,15500,1046,97964650,18705/18795,18760,18810,18710,18810, 
al2403,18720,-25,10381,244,22840400,18700/18750,18745,18755,18700,18760, 
al2404,18730,-15,4877,126,11801975,18500/18730,18745,18780,18705,18785, 
al2405,18710,-40,2934,23,2153350,18715/18760,18750,18730,18710,18730, 
al2406,18715,-30,882,17,1591150,18705/19545,18745,18730,18715,18730, 
al2407,18720,-20,466,15,1404000,18715/18800,18740,18720,18720,18720, 
al2408,18735,-10,316,0,0,18030/19545,18745,--,--,--, 
al2409,18740,20,138,0,0,18695/19180,18720,--,--,--, 
