30 minutes delayed
Contract,Last,Chg,Open Interest,Volume,Turnover,Bid-Ask,Pre-clear,Open,Low,High,Chart
rb2311,3604,15,76652,12137,438583740,3602/3605,3589,3617,3602,3619, 
rb2312,3641,11,37432,611,22270150,3636/3644,3630,3654,3638,3654, 
rb2401,3642,17,1892421,351819,12831842120,3642/3643,3625,3658,3640,3660, 
rb2402,3642,32,38514,102,3717870,3635/3655,3610,3659,3639,3659, 
rb2403,3650,26,510548,34630,1268655960,3650/3654,3624,3672,3650,3672, 
rb2404,3657,20,56756,9,329270,3650/3666,3637,3663,3654,3663, 
rb2405,3651,25,305603,12695,464146080,3650/3653,3626,3663,3647,3668, 
rb2406,3653,38,65303,220,8056080,3649/3664,3615,3667,3648,3671, 
rb2407,3647,13,59477,71,2591980,3647/3680,3634,3660,3642,3660, 
rb2408,3656,19,20963,24,878290,3650/3671,3637,3660,3653,3666, 
rb2409,3651,17,2509,45,1645070,3651/3664,3634,3661,3651,3665, 
rb2410,3618,-16,385,446,16203290,3620/3626,3634,3600,3600,3650, 
